,,,,"Components, Except Spring, Mfg.--NAICS)",,,,,,,,
,,3592,336311,Fuel Injection Device Mfg.,3581,3574,445,3581,3581,3581,445,3685
,,3714,336399,"Automobile, Bus or Truck Parts Mfg.--",2501,2576,166,2576,2576,2576,166,2576
,,,,"Passenger Restraining Devices (Seatbelts,",,,,,,,,
,,,,"Airbags, Child Safety Seats)",,,,,,,,
FastComp.com,,7,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,Var.,336322,"Automotive Lighting, Ignition or Starting
Apparatus Mfg. NOC",3648,3632,473,3648,3648,3648,473,3648
Baby Food Mfg.,51305,2032,311422,Baby Food Mfg.,6504,6504,104,6504,6504,6504,104,6504
Bakeries,10100,"5461
5461
5461","445291
722213
311811","Bakeries--Retail Store Sales
Doughnut Shop--Retail
Retail Bakery","8017
9083
2003","8017
9079
2003","918
918
918","8017
9058
2003","8017
9079
2003","8017
9072
2003","918
918
918","8017
9079
2003"
Bakery Plants,51315,"2051
2051
2051","311812
311812
311813","Bakery (Wholesale or Commercial)
Doughnut Mfg.
Frozen Cakes, Pies and Other Pastries Mfg.","2003
2003
2003","2003
2003
2003","105
105
105","2003
2003
2003","2003
2003
2003","2003
2003
2003","105
105
105","2003
2003
2003"
Barber or Beauty Shop Supplies Distributors,10111,5122,424210,Barber or Beauty Parlor Supply House,8018,8018,924,8018,8018,8018,924,8018
Barber Shops,10113,7241,812111,Barber Shop,9586,9586,977,9586,9586,9586,977,9586
Bathhouses or Bathing Pavilions,10120,"7999
7299","713990
812990","Bathhouse--Beach
Health Spa or Steam Bath NOC","9015
9063","9053
9067","971
884","9015
9063","9015
9053","9015
9053","971
884","9015
9015"
Battery Mfg.--Dry Cell,51330,3692,335912,Battery Mfg.--Dry,3642,3647,473,3179,3642,3642,473,3642
Battery Mfg.--Wet Cell or Storage,51333,3691,335911,Battery Mfg.--Storage,3647,3647,475,3179,3656,3647,475,3647
"Bazaars--Operated by the Insured--Not-For-
Profit Only",10132,5963,454390,"Bazaars--Operated by Insured (Nonprofit)
(CGL)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bazaars--Operated by the Insured--Other Than
Not-For-Profit",10130,5963,454390,Bazaars--Operated by Insured (CGL),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beach Chairs and Umbrellas--Rented to Others,10133,7999,532292,"Beach Chairs and Umbrellas--Rented to
Others (CGL)",8017,8017,928,8017,8017,8017,928,8017
Beaches--Bathing--Commercially Operated,10135,N/A,713990,Beaches--Commercially Operated (CGL),9063,9053,884,9063,9053,9063,884,9063
Beaches--Bathing--Not Commercially Operated,40072,N/A,713990,Beaches--Not Commercially Operated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bearing Mfg.,51340,"3562
3568
3562","332991
333613
332991","Ball or Roller Bearing Mfg.
Mechanical Power Transmission Equipment
Mfg. (NAICS)
Roller or Ball Bearing Mfg.","3638
3638
3638","3632
3632
3632","467
467
467","3638
3638
3638","3638
3638
3638","3638
3638
3638","467
467
467","3629
3620
3629"
Beauty Parlors and Hair Styling Salons,10115,"7231
7299","812112
812191","Beauty Parlor
Diet and Weight Reducing Centers (NAICS)","9586
8832","9586
8834","977
957","9586
8832","9586
8832","9586
8832","977
957","9586
8832"
Bed and Breakfasts,45210,7011,721191,Bed-and-Breakfast Inns,9052,9050,973,9052,9052,9052,973,9052
"Beer, Ale or Malt Liquor Mfg.--in Bottles",51350,2082,312120,Brewery (Bottles),2121,2121,108,2121,2121,2121,108,2121
"Beer, Ale or Malt Liquor Mfg.--in Cans",51351,2082,312120,Brewery (Cans),2121,2121,108,2121,2121,2121,108,2121
"Beer, Ale or Malt Liquor Mfg.--Not Bottled or
Canned",51352,"2082
2082","312120
312120","Brewery
Malt House","2121
2121","2121
2121","108
108","2121
2121","2121
2121","2121
2121","108
108","2121
2121"
"Beverage Bottler--Soft Drinks--Carbonated--in
Cans or Plastic Bottles",51355,2086,312111,"Bottling--Carbonated Beverage Mfg.--All
Operations",2157,2163,112,2157,2157,2157,112,2157
"Beverage Bottler--Soft Drinks--Carbonated--in
Glass Bottles",51356,2086,312111,"Beverage Mfg.--Carbonated--NOC (Glass
Bottles)",2157,2163,112,2157,2157,2157,112,2157
Beverage Bottler--Soft Drinks--in Metal Cylinders,51357,2086,312111,"Beverage Mfg.--Carbonated--NOC (Metal
Cylinders)",2157,2163,112,2157,2157,2157,112,2157
"Beverage Bottler--Soft Drinks--in Paper
Containers",51358,2086,312111,"Beverage Mfg.--Carbonated--NOC (Paper
Containers)",2157,2163,112,2157,2157,2157,112,2157
FastComp.com,,8,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
"Beverage Bottler--Soft Drinks--Not Carbonated--
in Bottles or Cans",51359,2086,312112,"Bottling--All Operations and Route
Supervisors, Drivers",2157,2163,112,2157,2156,2157,112,2157
"Beverage Distributors--Alcoholic Other Than
Beer",10140,5182,424820,Store: Wine or Spirits--Wholesale (CA),8018,8041,924,8018,8018,8018,924,8018
Beverage Distributors--Nonalcoholic and Beer,10141,"5181
5181
5149","424810
424810
424490","Ale or Beer Dealer--Wholesale
Beer or Ale Dealer--Wholesale
Soft Drink Distributors--Wholesale","7390
7390
8018","7392
7392
8018","821
821
821","7390
7390
8018","7390
7390
8018","7390
7390
8018","821
821
821","7390
7390
8018"
Beverage Stores--Liquor and Wine,10145,5921,445310,"Store: Wine, Beer or Spirits--Retail (CA)",8017,8060,928,8017,8017,8017,928,8017
Beverage Stores--Soft Drinks and Beer,10146,5921,445310,Beer or Ale Dealer--Retail,8017,8017,917,8017,8017,8017,917,8017
Bicycle Mfg.--Not Motorized,51370,"3799
3751","336999
336991","Baby Carriage Mfg.
Bicycle Mfg. or Assembly","3865
3865","3076
3076","463
463","3076
3076","3865
3865","3865
3865","463
463","3865
3865"
Bicycle Stores--Sales and Servicing,10150,"5941
5571","451110
441221","Bicycles Retail Sale
Motorcycle, ATV, and Personal Watercraft
Dealer (NAICS)","8010
8380","8066
8400","925
818","8010
8748","8017
8748","7998
8748","925
818","8017
8748"
Bicycles--Rented to Others,10151,7999,532292,Bicycle Rentals,8010,8066,925,8010,8017,7998,925,8017
Billiard or Pool Halls,10160,7999,713990,Billiard Hall,9089,9092,968,9093,9089,9089,968,9089
Billiard or Pool Table Mfg.,51380,3949,339920,Billiard Table Mfg.,2883,2883,323,2881,2883,2883,323,2881
"Bingo Games--in Public Halls or Theaters--
Commercially Operated",40075,7999,713290,"Slot Machine Gambling (DE, PA)",9062,9069,981,N/A,9044,9061,981,N/A
Blacksmithing,91200,"7699
3498","115210
332996","Blacksmith
Pipe Bending and Cutting","3111
3111","3110
3110","413
413","3111
3111","3111
3111","3111
3111","413
413","3111
3111"
Blasting Operations,91210,1794,238910,Blasting Rock,6217,1330,609,6217,1605,5508,609,4000
Blood Banks--Not-For-Profit Only,40102,8099,621991,Blood Banks (Nonprofit),8833,9043,957,8833,9045,8833,957,8833
Blood Banks--Other Than Not-For-Profit,40101,8099,621991,Blood and Organ Banks,8833,9043,957,8833,9045,8833,957,8833
Boarding or Rooming Houses,61000,7021,721310,Rooming Houses or Boarding Houses,9052,9050,973,9052,9052,9052,973,9052
Boat Dealers,10101,5551,441222,"Boat Dealer (CA, DE, PA, NAICS)",8748,8057,818,8748,8017,8748,818,8748
,,3732,336612,Boatbuilding--Wood--NOC--State Act Only,6811,6834,718,6834,6801,6811,718,N/A
,,3732,336612,Boatbuilding--Wood--NOC--U.S. Act (F Code),6801,N/A,6824,6801,6801,6801,6824,N/A
Boat or Ship Building--Inboard and,51400,3731,336611,Shipbuilding--Iron or Steel--NOC--Coverage,6854,N/A,6843,N/A,6872,6854,6843,6843
Inboard/Outboard,,,,under State Act Only,,,,,,,,
,,3731,336611,Shipbuilding--Iron or Steel--NOC--Coverage,3632,3632,461,3632,3632,3632,461,3632
,,,,under State Act Only: Machine Shop,,,,,,,,
,,3731,336611,Shipbuilding--Iron or Steel--NOC--Coverage,6843,N/A,6843,6843,6872,6843,6843,6843
,,,,under U.S. Act (F Code),,,,,,,,
,,3731,336611,Shipbuilding--Naval (F Code),6845,N/A,6843,6845,6872,6843,6843,N/A
Boat or Ship Building--without Motors,51401,3732,336612,Boat or Ship Building--without Motors,6811,6834,718,6834,6801,6811,718,N/A
Boat Repair and Servicing,91235,"3732
3732","336612
336612","Boatbuilding or Repair--State Act Only
Boatbuilding or Repair--U.S. Act (F Code)","6834
6824","6834
N/A","718
6824","6834
6824","6824
6824","6834
6824","718
6824","6824
6824"
Boat Storage and Moorage,10105,4493,713930,Boat Storage and Moorage (CGL),6836,N/A,716,6836,6826,6836,716,N/A
FastComp.com 9 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,4489,483212,Boat Livery--Boats under 15 Tons--Coverage,7038,N/A,7038,7038,7038,7038,7038,7016
,,,,under Admiralty Law: Program I (Inland Water,,,,,,,,
,,,,Passenger Transportation),,,,,,,,
,,4489,483212,Boat Livery--Boats under 15 Tons--Coverage,7090,N/A,7090,7090,7089,7090,7090,7024
,,,,under Admiralty Law: Program II--State Act,,,,,,,,
,,,,Benefits (Inland Water Passenger,,,,,,,,
,,,,Transportation),,,,,,,,
,,4489,483212,Boat Livery--Boats under 15 Tons--Coverage,7050,N/A,7050,7050,7089,7050,7050,7050
,,,,under Admiralty Law: Program II--USLandHW,,,,,,,,
,,,,Act Benefits (Inland Water Passenger,,,,,,,,
,,,,Transportation),,,,,,,,
,,Var.,483113,Coastal and Great Lakes Freight,7016,N/A,7016,7016,7019,7016,7016,7016
,,,,Transportation--Coverage under Admiralty,,,,,,,,
,,,,Law: Program I,,,,,,,,
,,Var.,483113,Coastal and Great Lakes Freight,7024,N/A,7024,7024,7027,7024,7024,7024
,,,,Transportation--Coverage under Admiralty,,,,,,,,
,,,,Law: Program II--State Act Benefits,,,,,,,,
,,Var.,483113,Coastal and Great Lakes Freight,7047,N/A,7047,7047,7027,7047,7047,7047
,,,,Transportation--Coverage under Admiralty,,,,,,,,
,,,,Law: Program II--USLandHW Act Benefits,,,,,,,,
,,4482,483114,Coastal and Great Lakes Passenger,7016,N/A,7019,7016,7019,7016,7019,7016
,,,,Transportation--Coverage under Admiralty,,,,,,,,
,,,,Law: Program I,,,,,,,,
,,4482,483114,Coastal and Great Lakes Passenger,7024,N/A,7027,7024,7027,7024,7027,7024
,,,,Transportation--Coverage under Admiralty,,,,,,,,
,,,,Law: Program II--State Act Benefits,,,,,,,,
Boat Transportation Companies,N/A,4482,483114,Coastal and Great Lakes Passenger,7047,N/A,7062,7047,7027,7047,7062,7047
,,,,Transportation--Coverage under Admiralty,,,,,,,,
,,,,Law: Program II--USLandHW Act Benefits,,,,,,,,
,,4449,483211,Marine Railway Operation--State Act Only,6882,N/A,6872,6882,6872,6882,6872,6872
,,4449,483211,Marine Railway Operation--U.S. Act (F Code),6872,N/A,6872,6872,6872,6872,6872,6872
,,4499,488390,Supply Boats--Coverage under Admiralty,7016,N/A,7020,7016,7019,7016,7020,7016
,,,,Law: Program I,,,,,,,,
,,4499,488390,Supply Boats--Coverage under Admiralty,7024,N/A,7028,7024,7027,7024,7028,7024
,,,,Law: Program II--State Act Benefits,,,,,,,,
,,4499,488390,Supply Boats--Coverage under Admiralty,7047,N/A,7131,7047,7027,7047,7131,7047
,,,,Law: Program II--USLandHW Act Benefits,,,,,,,,
,,4449,483211,Vessels--Not Self-Propelled--Coverage under,7046,N/A,7046,7046,7046,7046,7046,7046
,,,,Admiralty Law: Program I,,,,,,,,
,,4449,483211,Vessels--Not Self-Propelled--Coverage under,7098,N/A,7098,7098,7098,7098,7098,7098
,,,,Admiralty Law: Program II--State Act Benefits,,,,,,,,
,,4449,483211,Vessels--Not Self-Propelled--Coverage under,7099,N/A,7099,7099,7098,7099,7099,7099
,,,,Admiralty Law: Program II--USLandHW Act,,,,,,,,
,,,,Benefits,,,,,,,,
Boat Yards or Marinas--Public,10107,4493,713930,Marina--State Act Only,6836,N/A,716,6836,6826,6836,716,N/A
,,4493,713930,Marina--U.S. Act (F Code),6826,N/A,6826,6826,6826,6826,6826,N/A
Boats--Canoes or Rowboats--for Rent--Not,10110,Var.,532292,Recreational Goods Rental,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Equipped with Motors,,,,,,,,,,,,
FastComp.com,,10,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
"Boats--Canoes or Rowboats--Not for Rent--Not
Equipped with Motors",40111,Var.,487210,"Boats--Canoes or Rowboats--Not for Rent--
Not Equipped with Motors",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Boats--Motor or Sail--Not for Rent,40115,Var.,487210,Boats--Motor or Sail--Not for Rent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Boats--Motor or Sail--Rented to Others,10117,7999,532292,Boats--Motor or Sail--Rented to Others (CGL),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Boats--Nonowned over 26 Feet,40140,Var.,487210,Boats--Nonowned over 26 Feet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Boats--Not for Rent,40117,Var.,487210,Boats--Not for Rent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Boats--Rented to Others NOC,10119,4499,532411,"Commercial Water Transportation Equipment
Rental and Leasing (Except Pleasure Boats)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Boiler Inspection, Installation, Cleaning or Repair",91250,"7699
7699
7699
7699","811310
811310
811310
562991","Boiler Inspection
Boiler Installation or Repair--Steam
Boiler Scaling
Cleaning Tanks or Tank Cars","8720
3726
3726
3726","8720
3726
3726
3726","951
677
677
995","8720
3726
3726
3726","8731
3726
3726
3726","8731
3726
3726
3726","951
677
677
995","4511
3726
3726
3726"
"Bolt, Nut, Rivet, Screw or Washer Mfg.",51500,"3451
3452
3452","332721
332722
332722","Automatic Screw Machine Products Mfg.
Nut or Bolt Mfg.
Screw Mfg.","3145
3132
3145","3152
3152
3152","445
445
445","3145
3132
3145","3145
3132
3145","3145
3132
3145","445
445
445","3114
3132
3114"
Bookbinding--Not-For-Profit Only,51517,2789,323121,Bookbinding (Nonprofit),4307,4299,281,4307,4307,4307,281,4307
Bookbinding--Other Than Not-For-Profit,51516,"2789
2732","323121
323117","Bookbinding
Books Printing","4307
4307","4299
4299","281
281","4307
4307","4307
4307","4307
4307","281
281","4307
4307"
"Books and Magazines Stores--Not-For-Profit
Only",10205,5942,451211,"Books and Magazine Stores (Nonprofit)
(CGL)",8072,8071,928,8017,8017,8072,928,8017
"Books and Magazines Stores--Other Than Not-
For-Profit",10204,5942,451211,Store: Book--Retail,8072,8071,928,8017,8017,8072,928,8017
"Bottle and Jar Mfg.--Glass--for Use under
Pressure--Nonreturnable",51551,3221,327213,"Bottle and Jar Mfg.--Glass--for Use under
Pressure--Nonreturnable",4114,4114,535,4131,4114,4114,535,4114
"Bottle and Jar Mfg.--Glass--for Use under
Pressure--Returnable",51552,3221,327213,"Bottle and Jar Mfg.--Glass--for Use under
Pressure--Returnable",4114,4114,535,4131,4114,4114,535,4114
"Bottle and Jar Mfg.--Glass--Not for Use under
Pressure",51550,3221,327213,"Bottle and Jar Mfg.--Glass--Not for Use under
Pressure",4114,4114,535,4131,4114,4114,535,4114
Bottle and Jar Mfg.--Plastic--Nonreturnable,51553,3085,326160,Bottle and Jar Mfg.--Plastic--Nonreturnable,4484,4498,222,4484,4484,4475,222,4484
Bottle and Jar Mfg.--Plastic--Returnable,51554,3085,326160,Bottle and Jar Mfg.--Plastic--Returnable,4484,4498,222,4484,4484,4475,222,4484
Bowling Lanes,10220,7933,713950,Bowling Lane,9093,9092,968,9093,9093,9093,968,9093
,,2657,322212,Box Mfg.--Folding Paper--NOC,4243,4243,257,4243,4243,4243,257,4243
Boxes or Containers Mfg.--Corrugated or,51575,2652,322213,Box Mfg.--Set-Up Paper,4240,4240,257,4240,4240,4239,257,4243
Fiberboard,,,,,,,,,,,,
,,2653,322211,Container or Tube Mfg.--Cardboard or Paper--,4244,4244,261,4244,4245,4244,261,4244
,,,,Spiral or Convolute Wound (NJ),,,,,,,,
,,2653,322211,Corrugated or Fiberboard Container Mfg.,4244,4244,261,4244,4244,4244,261,4244
Boxes or Containers Mfg.--Wood,51576,"2449
2441
2449
2448","321920
321920
321920
321920","Barrel Stock Mfg.--Wood
Box Mfg.--Box Shook or Pallet--Wooden
Box Mfg.--Cigar--Wood
Pallet, Box or Box Shook Mfg. Wooden","2735
2759
2883
2759","2731
2759
2759
2757","305
305
323
305","2731
2759
2881
2759","2802
2759
2790
2759","2710
2759
2817
2759","305
305
323
305","2802
2881
2881
2802"
Boy or Girl Scout Councils,41001,8641,813410,Boy or Girl Scout Councils,8742,8742,951,8742,8742,8742,951,8742
FastComp.com,,11,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
Brick Mfg.,51600,"3271
3251
3297","327331
327121
327125","Brick Mfg. NOC
Brick Mfg.--Fire or Enameled
Refractory Products Mfg.","4021
4024
4024","4041
4041
4041","512
512
512","4024
4024
4024","4027
4024
4024","4024
4024
4024","512
512
514","4021
4024
4024"
"Bridge or Elevated Highway Construction--
Concrete",91266,1622,237310,"Concrete Construction in Connection with
Bridges or Culverts",5222,5222,654,5222,5222,5222,654,5203
"Bridge or Elevated Highway Construction--Iron or
Steel",91265,1622,237310,Iron or Steel Erection: Metal Bridges,5040,5040,655,5040,5040,5040,655,5040
Brush or Broom Mfg.,51613,"3991
3991","339994
339994","Brush or Broom Assembly
Brush or Broom Mfg. NOC","2835
2836","2842
2842","319
309","2881
2881","2835
2836","2835
2835","319
306","2835
2835"
,,5211,444190,Building Material Dealer--New Materials Only:,8232,8232,855,8232,8232,8232,855,8234
,,,,All Other Employees,,,,,,,,
Building Material Dealers--Other Than,10255,5211,444190,Building Material Dealer--New Materials Only:,8058,8017,855,8058,8232,8232,855,8058
Secondhand Material,,,,Store Employees,,,,,,,,
,,5032,444190,Concrete Ready-Mix Dealer,8232,8232,855,8232,8232,8232,855,8234
,,5031,423310,"Sash, Door or Assembled Millwork Dealer",8235,8232,855,8235,8235,8235,855,8234
Building Material Dealers--Secondhand Material,10256,5093,423930,Building Material Yard and Local Managers,8204,8204,860,8107,8204,8263,860,8234
Building Material Distributors,10257,"5032
5039
5033","423320
423390
423330","Brick, Stone, and Related Construction
Material Merchant Wholesalers (NAICS)
Building Material Distributors (CGL)
Roofing, Siding, and Insulation Material
Merchant Wholesalers (NAICS)","8058
8058
8058","8017
8017
8017","855
855
855","8058
8058
8058","8232
8232
8232","8232
8232
8232","855
855
855","8058
8058
8058"
Building Structure--Raising or Moving,91280,1629,238290,Building Raising or Moving,5703,5403,651,9530,5703,5703,651,5701
,,6162,522292,Mortgage Bankers (CA),8810,8749,988,8810,8810,8810,988,8810
,,6029,522110,Banks and Trust Companies--Armored Car,7380,8808,988,7380,7380,7380,988,7380
,,,,Operation,,,,,,,,
,,6029,522110,Banks and Trust Companies--Building,9015,8808,988,9015,9015,9015,988,9015
,,,,"Maintenance, Care or Custody",,,,,,,,
,,6029,522110,Banks and Trust Companies--Special Officers,8742,8808,988,8742,9015,8742,988,8742
,,,,"and Armed and Unarmed Attendants, Ushers,",,,,,,,,
,,,,"Door Attendants, Appraisers, Field Auditors,",,,,,,,,
,,,,Runners or Messengers,,,,,,,,
,,6099,522390,Check Cashing Services,8810,8850,988,8810,8810,8810,987,8810
,,6141,522291,Consumer Lending (NAICS),8810,8808,988,8810,8810,8810,988,8810
,,6141,522210,Credit Card Issuing,8810,8808,988,8810,8810,8810,988,8810
Buildings or Premises--Bank and Other Financial,61223,6061,522130,Credit Union (CA),8810,8801,988,8810,8810,8810,988,8810
Institutions,,,,,,,,,,,,
,,6022,522190,Depository Credit Intermediation (NAICS),8810,8808,988,8810,8810,8810,988,8810
,,Var.,522320,"Financial Transactions Processing, Reserve,",8810,8808,988,8810,8810,8810,988,8810
,,,,and Clearinghouse Activities (NAICS),,,,,,,,
,,Var.,522293,International Trade Financing (NAICS),8810,8808,988,8810,8810,8810,988,8810
,,6211,523110,Investment Banking and Securities Dealing,8810,8808,988,8810,8810,8810,988,8810
,,,,(NAICS),,,,,,,,
,,6011,521110,Monetary Authorities--Central Bank (NAICS),8810,8808,988,8810,8810,8810,988,8810
,,Var.,522220,Sales Financing (NAICS),8810,8808,988,8810,8810,8810,988,8810
FastComp.com 12 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,"Var.
Var.","522120
522294","Savings Institutions (NAICS)
Secondary Market Financing (NAICS)","8810
8810","8808
8808","988
988","8810
8810","8810
8810","8810
8810","988
988","8810
8810"
